Year,2A,2B,2C,3A,3B,4,4A,4B,4CDE,Total
2022,358,2563,1538,4042,1297,NA,581,249,708,11335
2021,345,2395,1569,4110,1129,NA,662,354,612,11177
2020,363,2313,1551,3298,1039,NA,522,408,689,10183
2019,386,2345,1669,3724,1048,NA,635,458,699,10963
2018,308,2468,1647,3397,1134,NA,567,485,612,10619
2017,336,2830,1914,3556,1406,NA,585,499,671,11798
2016,295,2785,1810,3438,1234,NA,626,503,617,11308
2015,259,2717,1710,3615,1225,NA,621,503,499,11149
2014,240,2667,1551,3475,1324,NA,413,508,503,10682
2013,245,2740,1374,5026,1855,NA,558,567,676,13041
2012,259,2712,1220,5466,2286,NA,717,789,903,14352
2011,245,3035,1111,6654,3320,NA,1066,930,1347,17708
2010,191,3053,2037,9299,4586,NA,1057,835,1315,22371
2009,222,3012,2250,9875,4890,NA,1148,721,1293,23410
2008,308,3520,2817,11122,4876,NA,1370,798,1488,26299
2007,358,4432,3842,12016,4196,NA,1284,644,1483,28254
2006,376,5448,4758,11662,4894,NA,1510,721,1297,30667
2005,363,5593,4822,11807,5974,NA,1542,898,1411,32409
2004,399,5516,4640,11417,7013,NA,1615,1234,1184,33017
2003,372,5348,3815,10319,7811,NA,2277,1751,1288,32981
2002,386,5475,3901,10492,7852,NA,2309,1851,1343,33607
2001,308,4667,3810,9770,7412,NA,2277,2028,1583,31856
2000,218,4903,3833,8741,6990,NA,2341,2127,1665,30817
1999,204,5765,4599,11485,6278,NA,1982,1619,1656,33588
1998,209,5974,4627,11657,5062,NA,1551,1315,1161,31556
1997,186,5634,4500,11177,4110,NA,1320,1506,1030,29461
1996,136,4332,4023,8931,1660,NA,771,939,630,21423
1995,136,4364,3524,8319,1420,NA,735,762,594,19854
1994,168,4495,4708,11267,1751,NA,816,916,649,24771
1993,227,4822,5121,10315,3565,NA,1161,889,757,26857
1992,200,3461,4454,12147,3910,NA,1225,1052,689,27138
1991,163,3261,3942,10401,5411,NA,1025,685,962,25850
1990,150,3887,4413,13086,3942,NA,1134,603,694,27910
1989,213,4731,4323,15304,3556,NA,467,1202,567,30363
1988,222,5833,5153,17196,3211,NA,875,721,526,33738
1987,268,5557,4849,14202,3520,NA,1674,680,717,31466
1986,263,5094,4813,14878,4001,NA,1533,118,866,31565
1985,222,4713,4178,9453,4940,NA,780,562,585,25433
1984,195,4105,2663,8968,3035,NA,476,499,440,20380
1983,122,2468,2894,6409,3520,NA,1134,608,254,17409
1982,95,2513,1588,6133,2177,NA,531,5,113,13154
1981,91,2567,1819,6455,204,NA,NA,NA,NA,11675
1980,9,2563,1470,5429,127,322,NA,NA,NA,9920
1979,23,2204,2055,5144,177,621,NA,NA,NA,10224
1978,45,2091,1960,4672,599,612,NA,NA,NA,9979
1977,95,2463,1447,3919,1447,553,NA,NA,NA,9925
1976,109,3302,2508,5008,1238,327,NA,NA,NA,12492
1975,209,3234,2830,4808,1161,286,NA,NA,NA,12528
1974,236,2096,2540,3715,757,322,NA,NA,NA,9666
1973,104,3053,2712,6123,2173,236,NA,NA,NA,14402
1972,168,4595,2622,7394,4209,463,NA,NA,NA,19450
1971,145,4468,2998,8056,5008,490,NA,NA,NA,21165
1970,73,4654,4250,9031,6065,807,NA,NA,NA,24880
1969,104,5815,4232,9108,6314,862,NA,NA,NA,26435
1968,64,4604,2771,6700,7180,726,NA,NA,NA,22045
1967,91,4586,4268,8918,6015,1170,NA,NA,NA,25047
1966,82,5008,5461,11689,5012,880,NA,NA,NA,28132
